Entry Id,Sport,Date,Title,SalaryCap,Score,Opp Score,Position,Entries,Opponent,Entry ($),Winnings ($),Link
S2014268241,nba,2020/03/11,$4_000 Pro Monthly FDP Loyalty Free Play,$60k,337.50,,100,5092,Tournament,0,8.00,https://www.fanduel.com/entry/BJUXNNTNX,
S2014175433,nba,2020/03/11,50/50 League ($1 - Top 50% Win) (Main),$60k,337.50,,7,100,Tournament,1,1.80,https://www.fanduel.com/entry/CLPXLUONU,
S2014175293,nba,2020/03/11,50/50 League ($1 - Top 50% Win) (Main),$60k,337.50,,6,100,Tournament,1,1.80,https://www.fanduel.com/entry/DZSQVZUWK,
S2014175208,nba,2020/03/11,50/50 League ($1 - Top 50% Win) (Main),$60k,337.50,,8,100,Tournament,1,1.80,https://www.fanduel.com/entry/BITDDRNYS,
S2014175131,nba,2020/03/11,50/50 League ($2 - Top 50% Win) (Main),$60k,337.50,,6,100,Tournament,2,3.60,https://www.fanduel.com/entry/BNOGNSRFI,
S2014175074,nba,2020/03/11,50/50 League ($2 - Top 50% Win) (Main),$60k,337.50,,5,100,Tournament,2,3.60,https://www.fanduel.com/entry/ENQDNLSSK,
S2014175044,nba,2020/03/11,50/50 League ($2 - Top 50% Win) (Main),$60k,337.50,,7,100,Tournament,2,3.60,https://www.fanduel.com/entry/DRSCSCBOO,
S2014175019,nba,2020/03/11,50/50 League ($2 - Top 50% Win) (Main),$60k,337.50,,7,100,Tournament,2,3.60,https://www.fanduel.com/entry/AVJNULMRM,
S2014174990,nba,2020/03/11,50/50 League ($2 - Top 50% Win) (Main),$60k,337.50,,8,100,Tournament,2,3.60,https://www.fanduel.com/entry/BVOURMROO,
S2014174971,nba,2020/03/11,50/50 League ($2 - Top 50% Win) (Main),$60k,337.50,,9,100,Tournament,2,3.60,https://www.fanduel.com/entry/DUXNQCVBQ,
S2014174878,nba,2020/03/11,$15K Wed NBA Dribbler (Single Entry),$60k,291.70,,2138,15950,Tournament,1,2.00,https://www.fanduel.com/entry/EQHRCZDTM,
S2014174846,nba,2020/03/11,$5K Wed NBA Swat (3 Entries Max),$60k,328.20,,283,5952,Tournament,1,3.00,https://www.fanduel.com/entry/AJPRBVDLM,
S2014174847,nba,2020/03/11,$5K Wed NBA Swat (3 Entries Max),$60k,274.60,,1526,5952,Tournament,1,0,https://www.fanduel.com/entry/AJBTPDRNQ,
S2014174849,nba,2020/03/11,$5K Wed NBA Swat (3 Entries Max),$60k,197.40,,4084,5952,Tournament,1,0,https://www.fanduel.com/entry/AMVBZVWYO,
S2014174773,nba,2020/03/11,$10K Wed NBA Block (Single Entry),$60k,337.50,,146,5952,Tournament,2,8.00,https://www.fanduel.com/entry/FAZSWKICK,
S2014174661,nba,2020/03/11,NBA Daily Free Play,$60k,337.50,,329,25681,Tournament,0,0,https://www.fanduel.com/entry/DGMDHVHVY,
S2013785162,pga,PGA tournament,$60k,,,0,,Cancelled,0,0,https://www.fanduel.com/entry/CTQLSHKWY, voided
S2013511904,nba,2020/03/10,50/50 League ($1 - Top 50% Win) (Main),$60k,297.10,,41,100,Tournament,1,1.80,https://www.fanduel.com/entry/EGDLQFYFH,
S2013511848,nba,2020/03/10,50/50 League ($2 - Top 50% Win) (Main),$60k,297.10,,34,100,Tournament,2,3.60,https://www.fanduel.com/entry/CGUSRTNQV,
